DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB01232	P08183	HGNC:40	ABCB1	CID000060787		5243	ABCB1
DB01234	P08183	HGNC:40	ABCB1	CID000005743	CHEMBL384467	5243	ABCB1
DB01239	P08183	HGNC:40	ABCB1	CID000002729		5243	ABCB1
DB01242	P08183	HGNC:40	ABCB1	CID000002801	CHEMBL1200710|CHEMBL415	5243	ABCB1
DB01244	P08183	HGNC:40	ABCB1	CID000002351	CHEMBL1008|CHEMBL1200382	5243	ABCB1
DB01248	P08183	HGNC:40	ABCB1	CID000148123	CHEMBL92	5243	ABCB1
DB01253	P08183	HGNC:40	ABCB1	CID000443884	CHEMBL119443|CHEMBL1213135	5243	ABCB1
DB01254	P08183	HGNC:40	ABCB1	CID003062316	CHEMBL1421	5243	ABCB1
DB01259	P08183	HGNC:40	ABCB1	CID000208908	CHEMBL1076241|CHEMBL1201179|CHEMBL1201183|CHEMBL554	5243	ABCB1
DB01261	P08183	HGNC:40	ABCB1	CID004369359	CHEMBL1201174|CHEMBL1422|CHEMBL393336|CHEMBL539077	5243	ABCB1
DB01263	P08183	HGNC:40	ABCB1	CID000147912		5243	ABCB1
DB01268	P08183	HGNC:40	ABCB1	CID005329102	CHEMBL535	5243	ABCB1
DB01339	P08183	HGNC:40	ABCB1	CID000039764	CHEMBL1200629|CHEMBL1201219	5243	ABCB1
DB01340	P08183	HGNC:40	ABCB1	CID000056329	CHEMBL515606	5243	ABCB1
DB01361	P08183	HGNC:40	ABCB1	CID000202225	CHEMBL564085	5243	ABCB1
DB01394	P08183	HGNC:40	ABCB1	CID000006167	CHEMBL107	5243	ABCB1
DB01396	P08183	HGNC:40	ABCB1	CID000441207	CHEMBL254219	5243	ABCB1
DB01400	P08183	HGNC:40	ABCB1	CID000004456	CHEMBL211471|CHEMBL278020|CHEMBL54126	5243	ABCB1
DB01583	P08183	HGNC:40	ABCB1	CID000071371		5243	ABCB1
DB01587	P08183	HGNC:40	ABCB1	CID000033746	CHEMBL2104356	5243	ABCB1
DB01595	P08183	HGNC:40	ABCB1	CID000004506	CHEMBL13209	5243	ABCB1
DB01601	P08183	HGNC:40	ABCB1	CID000092727	CHEMBL729	5243	ABCB1
DB02659	P08183	HGNC:40	ABCB1	CID000221493	CHEMBL205596	5243	ABCB1
DB04573	P08183	HGNC:40	ABCB1	CID000005756	CHEMBL193482	5243	ABCB1
DB04840	P08183	HGNC:40	ABCB1	CID000002965	CHEMBL1255735|CHEMBL1593558|CHEMBL169901	5243	ABCB1
DB04855	P08183	HGNC:40	ABCB1			5243	ABCB1
DB04868	P08183	HGNC:40	ABCB1			5243	ABCB1
DB05039	P08183	HGNC:40	ABCB1			5243	ABCB1
DB05521	P08183	HGNC:40	ABCB1			5243	ABCB1
DB05773	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06207	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06212	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06228	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06287	P08183	HGNC:40	ABCB1	CID023724530		5243	ABCB1
DB06290	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06292	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06414	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06589	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06605	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06616	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06626	P08183	HGNC:40	ABCB1			5243	ABCB1
DB06695	P08183	HGNC:40	ABCB1	CID006445226	CHEMBL1615369	5243	ABCB1
DB06702	P08183	HGNC:40	ABCB1	CID006918558	CHEMBL1201764|CHEMBL1201765	5243	ABCB1
DB06772	P08183	HGNC:40	ABCB1	CID009854073	CHEMBL1201748	5243	ABCB1
DB08816	P08183	HGNC:40	ABCB1			5243	ABCB1
DB08820	P08183	HGNC:40	ABCB1			5243	ABCB1
DB08827	P08183	HGNC:40	ABCB1			5243	ABCB1
DB08828	P08183	HGNC:40	ABCB1			5243	ABCB1
